"x","y","color","pen down?"
"318","11","15","true"
"319","12","15","true"
"320","16","15","true"
"321","24","15","true"
"322","47","15","true"
"323","87","15","true"
"324","164","15","true"
"325","310","15","true"
"326","578","15","true"
"327","904","15","true"
"328","930","15","true"
"329","785","15","true"
"330","493","15","true"
"331","125","15","true"
"332","17","15","true"
"333","6","15","true"
"334","11","15","true"
"335","21","15","true"
"336","38","15","true"
"337","58","15","true"
"338","90","15","true"
"339","145","15","true"
"340","271","15","true"
"341","548","15","true"
"342","903","15","true"
"343","949","15","true"
"344","813","15","true"
"345","514","15","true"
"346","123","15","true"
"347","15","15","true"
"348","11","15","true"
"349","21","15","true"
"350","30","15","true"
"351","41","15","true"
"352","60","15","true"
"353","83","15","true"
"354","134","15","true"
"355","257","15","true"
"356","542","15","true"
"357","910","15","true"
"358","973","15","true"
"359","844","15","true"
"360","535","15","true"
"361","138","15","true"
"362","17","15","true"
"363","13","15","true"
"364","19","15","true"
"365","20","15","true"
"366","28","15","true"
"367","44","15","true"
"368","64","15","true"
"369","118","15","true"
"370","228","15","true"
"371","545","15","true"
"372","966","15","true"
"373","1029","15","true"
"374","917","15","true"
"375","580","15","true"
"376","133","15","true"
"377","13","15","true"
"378","6","15","true"
"379","10","15","true"
"380","18","15","true"
"381","21","15","true"
"382","38","15","true"
"383","63","15","true"
"384","101","15","true"
"385","205","15","true"
"386","494","15","true"
"387","987","15","true"
"388","1059","15","true"
"389","955","15","true"
"390","648","15","true"
"391","129","15","true"
"392","11","15","true"
"393","7","15","true"
"394","10","15","true"
"395","10","15","true"
"396","20","15","true"
"397","28","15","true"
"398","41","15","true"
"399","71","15","true"
"400","176","15","true"
"401","479","15","true"
"402","1042","15","true"
"403","1165","15","true"
"404","1055","15","true"
"405","743","15","true"
"406","166","15","true"
"407","13","15","true"
"408","7","15","true"
"409","11","15","true"
"410","14","15","true"
"411","12","15","true"
"412","21","15","true"
"413","27","15","true"
"414","47","15","true"
"415","135","15","true"
"416","366","15","true"
"417","1034","15","true"
"418","1222","15","true"
"419","1140","15","true"
"420","903","15","true"
"421","224","15","true"
"422","10","15","true"
"423","3","15","true"
"424","1","15","true"
"425","4","15","true"
"426","11","15","true"
"427","20","15","true"
"428","35","15","true"
"429","53","15","true"
"430","114","15","true"
"431","290","15","true"
"432","977","15","true"
"433","1222","15","true"
"434","1162","15","true"
"435","977","15","true"
"436","275","15","true"
"437","9","15","true"
"438","2","15","true"
"439","5","15","true"
"440","7","15","true"
"441","10","15","true"
"442","13","15","true"
"443","17","15","true"
"444","32","15","true"
"445","90","15","true"
"446","252","15","true"
"447","929","15","true"
"448","1288","15","true"
"449","1237","15","true"
"450","1072","15","true"
"451","388","15","true"
"452","12","15","true"
"453","2","15","true"
"454","3","15","true"
"455","3","15","true"
"456","2","15","true"
"457","6","15","true"
"458","11","15","true"
"459","21","15","true"
"460","55","15","true"
"461","169","15","true"
